"AUTEUR	DATUM	PARTIJ	CONTENT";;;;
"Farid Azarkan	12-04-2020 22:16:52	DENK	Farid Azarkan (@F_azarkan): RT @FatimaElatik: Nederlanders in nood in Marokko https://t.co/5LnzEbvn2Q";;;;
"Laura Bromet 🦔	12-04-2020 22:13:37	onbekend	Laura Bromet 🦔 (@LauraBromet): Hup Elsje uit Purmerend! Je doet t super. #frontberichten";;;;
"Peter Kwint	12-04-2020 22:08:46	SP	Peter Kwint (@peterkwint): Ik mis liveshows. https://t.co/pld89M2wgh";;;;
"Ton van Kesteren	12-04-2020 21:55:03	PVV	Ton van Kesteren (@PVVKesteren): RT @wierdduk: Ik sprak met huisarts Rob Elens die coronapatiënten, naar eigen zeggen, beter zag worden door experimentele behandeling: We hebben geen tijd om vijf maanden onderzoek te doen” Hij moest stoppen van Inspectie: https://t.co/CRm9uYCEUu #telegraafpremium via @Telegraaf";;;;
"Ton van Kesteren	12-04-2020 21:47:44	PVV	Ton van Kesteren (@PVVKesteren): RT @SamvanRooy1: Lachwekkend! 'Zero tolerance' mat maar één ding betekenen: de (dubbele) nationaliteit afnemen en met het hele gezin het land uitzetten. En onze grenzen sluiten voor dit soort tuig!  https://t.co/NQdeJvfgKZ";;;;
"Pieter Omtzigt	12-04-2020 21:45:14	CDA	Pieter Omtzigt (@PieterOmtzigt): Na de paasviering nog iets dat we missen: het paasvuur - dat kan ook niet met social distancing en 1,5 meter afstand in Twente - [hier Lonneker 2018] https://t.co/x3ocdQaf42";;;;
"Ton van Kesteren	12-04-2020 21:45:09	PVV	Ton van Kesteren (@PVVKesteren): https://t.co/UaE6H8KY9M";;;;
"Thierry Baudet	12-04-2020 21:45:06	FvD	Thierry Baudet (@thierrybaudet): RT @Felicity256: Hij neemt hier serieus het idee van @thierrybaudet over? https://t.co/zi0qiylpQQ";;;;
"Pieter Omtzigt	12-04-2020 21:34:37	CDA	Pieter Omtzigt (@PieterOmtzigt): RT @PieterOmtzigt: Hoi Tjeerd! De wetstekst: Het eerste lid [verbod gelaatsbedekkende kleding] is niet van toepassing, voor zover kleding als bedoeld in dat lid: [...] b.noodzakelijk is ter bescherming van het lichaam in verband met de gezondheid of de veiligheid, https://t.co/eiPyStRp78";;;;
"Sadet Karabulut	12-04-2020 21:28:53	SP	Sadet Karabulut (@SadetKarabulut): RT @SPnl: Honderden euro's moeten betalen voor een repatriëringsvlucht terwijl de vliegtuigmaatschappijen met belastinggeld worden gered? Dat moet worden kwijtgescholden, vindt @SadetKarabulut bij #KassaTV. https://t.co/j5xTsU5ii9";;;;
"Jasper van Dijk	12-04-2020 21:22:23	SP	Jasper van Dijk (@JaspervanDijkSP): RT @telegraaf: Nederland moet zich er in Europa sterk voor maken om vluchtelingen van het Griekse eiland Lesbos onder te brengen op cruiseschepen, om zo verspreiding van het coronavirus te voorkomen. Daartoe roept een meerderheid van de Tweede Kamer de regering op. https://t.co/gxxG8LzCnm";;;;
"Pieter Omtzigt	12-04-2020 21:09:05	CDA	Pieter Omtzigt (@PieterOmtzigt): Hoi Tjeerd! De wetstekst: Het eerste lid [verbod gelaatsbedekkende kleding] is niet van toepassing, voor zover kleding als bedoeld in dat lid: [...] b.noodzakelijk is ter bescherming van het lichaam in verband met de gezondheid of de veiligheid, https://t.co/eiPyStRp78";;;;
"Henk van Gerven	12-04-2020 20:30:35	SP	Henk van Gerven (@HenkvGerven): RT @josdeblok: Er zijn voldoende persoonlijke beschermende materialen te krijgen maar overal zijn tekorten. Het is onverantwoord om zorgverleners in de wijk of VVT onbeschermd te laten werken. We zien dat veel zorgverleners Corona hebben of gehad hebben. Laten we elkaar beschermen! Doe iets!!";;;;
"Martin Bosma	12-04-2020 20:29:39	PVV	Martin Bosma (@Martinbosma_pvv): RT @henkwestbroek: Denk maar dat de Engelsen die tegen de Brexit waren ( zoals mijn vrouw die Brits is) het verschrikkelijk vinden. Dat ze nu geen tientallen miljarden kunnen storten in noodfondsen om Spanje en Italië overeind te houden.";;;;
"Fleur Agema	12-04-2020 20:28:59	PVV	Fleur Agema (@FleurAgemaPVV): 1 april waren er al in 900 van 2500 verpleeghuizen coronabesmettingen. ⁦Windowdresser Martin van Rijn: de huidige situatie waar sommige verpleeghuizen en GGZ-instellingen speciale afdelingen vrij moesten maken omdat personeel niet goed was beschermd.” https://t.co/Y6lRcAQew2";;;;
"Peter Kwint	12-04-2020 20:24:05	SP	Peter Kwint (@peterkwint): RT @ZusterMerel: Graag een momentje stilte (of applaus, wat je wilt) voor de managers: ""Managers doen waar ze voor zijn: het realiseren van de randvoorwaarden waaronder zorgprofessionals hun werk goed kunnen doen, en krijgen hiervoor waardering."" #coronavirus #zorg https://t.co/R982WOkm6a";;;;
"Martijn van Helvert🇳🇱🇪🇺	12-04-2020 20:02:58	onbekend	Martijn van Helvert🇳🇱🇪🇺 (@Martijncda): RT @AdvanderHelm: Paus roept op om crisis aan te grijpen om gewapende conflicten op te lossen. Hij roept Israëli en Palestijnen op vredesdialoog te hervatten! Hij roept op tot einde wapenhandel, rot Europese solidariteit. Einde aan terrorisme! Kijk niet naar eigen lijden maar naar gehele wereld";;;;
"Laura Bromet 🦔	12-04-2020 19:48:23	onbekend	Laura Bromet 🦔 (@LauraBromet): https://t.co/shz845xXT0";;;;
"Peter Kwint	12-04-2020 19:48:03	SP	Peter Kwint (@peterkwint): RT @SPnl: Honderden euro's moeten betalen voor een repatriëringsvlucht terwijl de vliegtuigmaatschappijen met belastinggeld worden gered? Dat moet worden kwijtgescholden, vindt @SadetKarabulut bij #KassaTV. https://t.co/j5xTsU5ii9";;;;
"Laura Bromet 🦔	12-04-2020 19:42:38	onbekend	Laura Bromet 🦔 (@LauraBromet): https://t.co/0pV2wWnAa1";;;;
"Farid Azarkan	12-04-2020 19:38:16	DENK	Farid Azarkan (@F_azarkan): RT @CntrleAltDlt: De drone inzet van de @POL_DenHaag maakte nogal wat los in de stad. Controle Alt Delete vraagt zich af: is dit de nieuwe vorm van openbare orde handhaving? @politie @ministerieJenV @ferdgrapperhaus https://t.co/2Qeydvnm0v";;;;
"Wybren van Haga	12-04-2020 18:53:27	Van Haga	Wybren van Haga (@WybrenvanHaga): RT @dutchjews: @mauricedehond @WybrenvanHaga Mondkapjes vanaf vandaag in Israël verplicht https://t.co/EfdwGpJHOT";;;;
"Suzanne Kröger	12-04-2020 18:40:15	GroenLinks	Suzanne Kröger (@suzanne_GL): Optimisme is een morele plicht.” Dank @emsent dat je ons in deze tijd aan de uitspraak van Kant herinnert in mooi interview in @volkskrant. https://t.co/yUShTALYKB";;;;
"Kirsten van den Hul	12-04-2020 18:30:31	PvdA	Kirsten van den Hul (@kirstenvdhul): Straks op @NPORadio1 https://t.co/zcevdT2dvE";;;;
"Corinne Ellemeet	12-04-2020 18:19:52	GroenLinks	Corinne Ellemeet (@CorinneEllemeet): RT @NielsvdBerge: Alsof #Pasen zonder live Matthäus-Passion nog niet pijnlijk genoeg was... Ik hoop dat dit niet waar is Juist nu hebben we de troost, kracht en inspiratie van kunst en cultuur nodig. Juist nu moeten we knokken voor wat kwetsbaar is. #coronavirus https://t.co/dgfTYUQ74p";;;;
"Gabrielle Popken	12-04-2020 18:10:04	onbekend	Gabrielle Popken (@gjfpopken): RT @BorisJohnson: It is hard to find the words to express my debt to the NHS for saving my life. The efforts of millions of people across this country to stay home are worth it. Together we will overcome this challenge, as we have overcome so many challenges in the past. #StayHomeSaveLives https://t.co/HK7Ch8BMB5";;;;
"Corrie van Brenk	12-04-2020 17:49:10	50Plus	Corrie van Brenk (@CvanBrenk): Schande goed dat de man aangehouden is. https://t.co/swJ32HD7a7";;;;
"Corrie van Brenk	12-04-2020 17:45:00	50Plus	Corrie van Brenk (@CvanBrenk): RT @rogervanboxtel: Bespugen en slaan van een van onze conductrices is écht onaanvaardbaar. Hoe laag en risicovol. Hoge straf ga ik van uit. En beterschap collega!! #NS";;;;
"Lodewijk Asscher	12-04-2020 17:43:01	PvdA	Lodewijk Asscher (@LodewijkA): Zoek de verschillen... Mag hopen dat dit niet klopt er is echt een steunpakket nodig voor de culturele sector https://t.co/mG7XNYTXHX";;;;
"Thierry Baudet	12-04-2020 17:32:37	FvD	Thierry Baudet (@thierrybaudet): De euro strompelt van crisis naar crisis. De huidige situatie is onhoudbaar en benadeelt zowel Noord-Europa als Zuid-Europa. Het is tijd om de euro te ontvlechten. #FVD https://t.co/lWZ2qJ5iIZ via @fvdemocratie";;;;
"Ton van Kesteren	12-04-2020 17:12:30	PVV	Ton van Kesteren (@PVVKesteren): RT @PietervVol: Met heel veel verdriet heb ik vernomen,dat mijn vriend Louis van Dijk is overleden. Van 1986 tot 2003 hebben wij met de Gevleugelde Vrienden opgetrokken en onze concerten hebben bijgedragen aan de start vd Slachtofferhulp in ons land. Louis was een vriend om nooit te vergeten. https://t.co/HMImk4CgRg";;;;
"Aukje de Vries #blijfthuis	12-04-2020 17:03:37	onbekend	Aukje de Vries #blijfthuis (@aukjedevries): RT @OP_Nederland: (Middel)groot bedrijf en krediet nodig? https://t.co/oO4RPd80IF  Hoogte van de lening waarvoor de overheid garant staat verhoogd naar € 150 mln  Max. garantiepercentage verhoogd naar 80% voor grootbedrijven, 90% voor het MKB  Garantieplafond verder verhoogd naar € 10 mld https://t.co/HpSVvmUybI";;;;
"Lilian Helder	12-04-2020 17:00:10	PVV	Lilian Helder (@lilianhelderpvv): 1. schade terug laten betalen 2. daarnaast forse straf voor vernieling 3 . en voor negeren maatregelen En hopen dat niemand in gevaar komt, omdat er geen politieauto beschikbaar is door deze ‘vandaaltjes 🤬 https://t.co/pe6rXgyRu0";;;;
"Thierry Baudet	12-04-2020 16:55:14	FvD	Thierry Baudet (@thierrybaudet): RT @fvdemocratie: De situatie van de euro is onhoudbaar. Er zijn twee opties: verdere monetaire en politieke eenmaking of gecontroleerde ontvlechting. Lees hier waarom FVD voor dat tweede pleit! ⤵️ https://t.co/uEFvM2gptz";;;;
"Thierry Baudet	12-04-2020 16:54:48	FvD	Thierry Baudet (@thierrybaudet): RT @Rob_Roos: Zowel Noord-Europa als Zuid-Europa zijn beide de gebeten hond. En de #euro is de schuldige van dit alles. Het is tijd om de euro te ontvlechten. #FVD https://t.co/1cuU2pVgc6 via @fvdemocratie";;;;
"Peter Kwint	12-04-2020 16:47:57	SP	Peter Kwint (@peterkwint): Gaat wel hard ja. https://t.co/MyW9WqOoyW https://t.co/eBY3aVw3Q1";;;;
"Gabrielle Popken	12-04-2020 16:38:58	onbekend	Gabrielle Popken (@gjfpopken): RT @RopZoutberg: In het verzorgingshuis San Jerónimo gaan ze de derde(!) week in. De verzorgers sloten zich op met de bejaarden en houden het coronavirus buiten. Iedere video die ik ervan zie maakt me gelukkig. #héroes #FelizPascua @DavidCabrero https://t.co/cbZhN1U066";;;;
"Suzanne Kröger	12-04-2020 16:33:47	GroenLinks	Suzanne Kröger (@suzanne_GL): Verschrikkelijk, wat haalt zo iemand in z n hoofd. Terwijl het juist nu zoveel waard is dat we ook het OV als vitale infrastructuur draaiende houden. https://t.co/wiGOZVDHQl";;;;
"Bart Snels	12-04-2020 16:17:42	GroenLinks	Bart Snels (@bartsnels): RT @JorritRO: Excellent thread indeed, by @alexandreafonso . Hope that Dutch Finance minister @WBHoekstra has a close look, as it provides good start for the study he wanted so badly, in order to understand why NL is in better fiscal position than ITA... @bartsnels https://t.co/nMuBshYGSK";;;;
"Femke Merel van Kooten	12-04-2020 16:14:19	vKA	Femke Merel van Kooten (@FemkeMerel): RT @AhmedAarad: De enige die de moeite nam om zich te informeren rondom de voorgestelde #CoronaApp's @FemkeMerel en daarom stemde ze tegen. Voorwaarden #opensource , vrij van advertenties en data wordt niet verstrekt buiten het doel waarvoor het bestemd is. @AstridOosenbrug @brenno @Matthijs85 https://t.co/nuSbUzm8FV";;;;
"Femke Merel van Kooten	12-04-2020 16:13:44	vKA	Femke Merel van Kooten (@FemkeMerel): Mensen vragen waarom ik, als enige, tégen de motie D66 over #COVID19 apps stemde. De motie lijkt sympathiek, maar #Sleepwet, die D66 door de Kamer loodste, voldoet óók aan huidige privacywetgeving. Ik vertrouw dit kabinet niet met tracking apps & #privacy, sorry. Dat gaat fout  https://t.co/zangN3jJYv";;;;
"Peter Kwint	12-04-2020 16:01:18	SP	Peter Kwint (@peterkwint): Meer mensen die zes keer per dag opnieuw moeten inloggen op hun Twitter app? Of is dit gewoon weer een variant op de e-mail password reset (die ik ondertussen uit heb gezet)?";;;;
"Henk Krol	12-04-2020 15:44:10	50Plus	Henk Krol (@HenkKrol): RT @Adriana_Hdez_: Groundbreaking work by #50PLUS and #HenkKrol to put an end to age discrimination is increasingly internationally recognized. #covid19 makes #EU painfully aware of the impact of our ageing population!";;;;
"Henk Krol	12-04-2020 15:44:08	50Plus	Henk Krol (@HenkKrol): RT @Adriana_Hdez_: Baanbrekend werk van #50PLUS en @henkkrol om een einde aan #leeftijdsdiscriminatie te maken wordt steeds meer internationaal erkend. #corona maakt de #EU pijnlijk bewust van de gevolgen van onze vergrijzing! @EUCouncilPress @Europarl_NL https://t.co/uUWxbNboYf";;;;
"Agnes Mulder	12-04-2020 15:40:28	CDA	Agnes Mulder (@AgnesMulderCDA): ⁦⁦⁦@MotoGP⁩ ⁦@ValeYellow46⁩ ️ https://t.co/OwwKVKHppf";;;;
"Kees Verhoeven	12-04-2020 15:33:08	D66	Kees Verhoeven (@KeesVee): Voor dat soort vragen hebben we jou toch juist???  https://t.co/DSmBXrfpVL";;;;
"Lodewijk Asscher	12-04-2020 15:30:51	PvdA	Lodewijk Asscher (@LodewijkA): 🤔 restrictief beleid wegens weinig testen, weinig testen wegens restrictief beleid #coronanederland https://t.co/tfh3Sq3pp7";;;;
"Ank Bijleveld	12-04-2020 15:30:05	CDA	Ank Bijleveld (@MinBijleveld): RT @kon_marine: https://t.co/JJ5CCX3Kc5. Karel Doorman is gereed voor vertrek naar het Caribisch gebied. De afgelopen dagen is er hard gewerkt om het schip te beladen. #CaribSupport #COVID19 #KoninklijkeMarine @korpsmariniers @Kon_Luchtmacht @landmacht @Marechaussee #DOSCO #Defensie #coronavirus https://t.co/iIwAWkSbrA";;;;
"Esther Ouwehand	12-04-2020 15:25:24	PvdD	Esther Ouwehand (@estherouwehand): Mét plantaardige paashaas!  #supportyourveganscene https://t.co/O3A58P51UA";;;;
"Matthijs Sienot	12-04-2020 14:34:22	D66	Matthijs Sienot (@MatthijsSienot): Gezelschapsspel tijdens #pasen. Het valt niet mee om de pandemie te verslaan zonder experts als Van Dissel en Gommers. Kent iemand dit spel? Wat is jullie strategie? #pandemic https://t.co/h79jYpMGzN";;;;
"Matthijs Sienot	12-04-2020 14:30:14	D66	Matthijs Sienot (@MatthijsSienot): RT @TjeerdD66: Kippen willen scharrelen, stofbaden en hebben ruimte nodig. Dat kan niet in een draadgazen kooi.  Daarom wil D66 een Europees verbod op #kooieieren! 🥚 En zolang het nog niet zover is, vermelding van het houderijsysteem op eihoudende producten.  https://t.co/CfoZPtH3TK";;;;
"Esther Ouwehand	12-04-2020 14:28:59	PvdD	Esther Ouwehand (@estherouwehand): RT @guardianeco: Surely the link between abusing animals and the world's health is now clear | Nick Cohen https://t.co/sjqFHDOML6";;;;
"Ton van Kesteren	12-04-2020 14:28:38	PVV	Ton van Kesteren (@PVVKesteren): RT @POPNED: Mad word! https://t.co/HD36wSxf7t";;;;
"Ton van Kesteren	12-04-2020 14:28:00	PVV	Ton van Kesteren (@PVVKesteren): RT @DonArturito: https://t.co/PAQYRTZbwW";;;;
"Chantal Nijkerken	12-04-2020 14:15:07	VVD	Chantal Nijkerken (@cnijkerken): RT @MinisterieSZW: #Leestip: @tamaravanark roept gemeenten op om niet onnodig veel gegevens te vragen van zelfstandigen: 'Er zijn voorbeeldformulieren . Lees het artikel: https://t.co/yni105NPfS";;;;
"Geert Wilders	12-04-2020 14:12:48	PVV	Geert Wilders (@geertwilderspvv): RT @geertwilderspvv: Namens de #PVV wens ik iedereen een Zalig #Pasen! #paasdagen #paasweekend #paashaas #Pasen2020 https://t.co/i7eIIQj6ug";;;;
"E. van Dijk	12-04-2020 14:10:02	onbekend	E. van Dijk (@EmielVanDijkPVV): RT @HansdeBoer18: In Nederland vallen 5 x meer doden per 1 miljoen inwoners dan in Amerika. Echter @Nieuwsuur wekt dagelijks de indruk dat het in Amerika een enorme ramp is als gevolg van het beleid van Trump.";;;;
"Cora van Nieuwenhuizen	12-04-2020 14:08:23	VVD	Cora van Nieuwenhuizen (@CvNieuwenhuizen): Deze vond ik te leuk om niet te delen! Fijne 1,5 m Paasdagen allemaal. https://t.co/wZPbQZ4xuS";;;;
"Henk Nijboer	12-04-2020 14:06:55	PvdA	Henk Nijboer (@henknijboer): RT @hildeboelema: Luister om 14.00 uur naar @DrentheToen voor de laatste aflevering van onze podcast ‘De Hilte 11 . Het einde van de oorlog nadert: hoe loopt het af voor de familie Nijboer uit Gieterveen? https://t.co/60cv4KM902";;;;
"Geert Wilders	12-04-2020 14:04:35	PVV	Geert Wilders (@geertwilderspvv): RT @1Limburg: Wilders wil onderzoek naar coronamedicatie Meijelse huisarts: https://t.co/QtQZh19YKk https://t.co/hgmpnu0RUi";;;;
"Achraf Bouali	12-04-2020 13:55:04	D66	Achraf Bouali (@achrafboualiD66): We zien nu juist de onderlinge afhankelijkheid en we zijn allemaal kwetsbaar. Samen dus verantwoordelijkheid nemen. Het geeft geen sier de rekening te leggen bij hen/landen die al weinig hebben. Kledingindustrie neem verantwoordelijkheid! @fairwear_org https://t.co/E5EzPSd7aj";;;;
"Henk Nijboer	12-04-2020 13:53:06	PvdA	Henk Nijboer (@henknijboer): RT @drentsarchief: Het einde van de oorlog nadert. Hoe loopt het af voor de familie Nijboer uit Gieterveen? Luister naar de laatste aflevering van de podcast De Hilte 11. Te horen om 14.00 uur in @DrentheToen of download 'm in je favoriete podcast-app. #podcast #75jaarbevrijding https://t.co/L0ddod1wqm";;;;
"Ministerie van Sociale Zaken & Werkgelegenheid	12-04-2020 13:40:29	onbekend	Ministerie van Sociale Zaken & Werkgelegenheid (@MinisterieSZW): #Leestip: @tamaravanark roept gemeenten op om niet onnodig veel gegevens te vragen van zelfstandigen: 'Er zijn voorbeeldformulieren . Lees het artikel: https://t.co/yni105NPfS";;;;
"Thierry Baudet	12-04-2020 13:37:31	FvD	Thierry Baudet (@thierrybaudet): RT @EuropeElects: Italy, Tecnè poll: European Union membership referendum Remain: 51% (-20) Leave: 49% (+20) (14% don t knows excluded) +/- vs. 23-27 November 2018 Fieldwork: 9-10 April 2020 Sample Size: 1,000 #Italexit #coronarvirusitalia";;;;
"Ministerie van Sociale Zaken & Werkgelegenheid	12-04-2020 13:36:26	onbekend	Ministerie van Sociale Zaken & Werkgelegenheid (@MinisterieSZW): #Leestip: @tamaravanark roept gemeentes op om niet onnodig veel gegevens te vragen van zelfstandigen: 'Er zijn voorbeeldformulieren . Lees het artikel: https://t.co/yni105NPfS";;;;
"Tjeerd de Groot	12-04-2020 13:30:16	D66	Tjeerd de Groot (@TjeerdD66): Kippen willen scharrelen, stofbaden en hebben ruimte nodig. Dat kan niet in een draadgazen kooi.  Daarom wil D66 een Europees verbod op #kooieieren! 🥚 En zolang het nog niet zover is, vermelding van het houderijsysteem op eihoudende producten.  https://t.co/CfoZPtH3TK";;;;
"Geert Wilders	12-04-2020 13:09:59	PVV	Geert Wilders (@geertwilderspvv): RT @geertwilderspvv: Please do! Much appreciated! #Nexit #NEXIT #nexit https://t.co/53I5GROEny";;;;
"Farid Azarkan	12-04-2020 13:05:57	DENK	Farid Azarkan (@F_azarkan): RT @TheDutchYinzer: Mijn neefje wordt vermist sinds donderdag 9 april. Wil iedereen dit zoveel mogelijk delen! https://t.co/CFA2i6vtgV";;;;
"Farid Azarkan	12-04-2020 13:01:43	DENK	Farid Azarkan (@F_azarkan): Gelukkig! https://t.co/3uNlFQwEwn";;;;
"Henk Nijboer	12-04-2020 12:56:26	PvdA	Henk Nijboer (@henknijboer): RT @MarjoleinKnol: Morgen is het precies 75 jaar geleden dat Gieterveen werd bevrijd. Je hoort erover in de laatste (!) aflevering van De Hilte 11. #podcast https://t.co/PhfvtLLvNf";;;;
"Edgar Mulder	12-04-2020 12:50:48	PVV	Edgar Mulder (@edgarmulder1): RT @DVATW: Brussels looking as lovely and enriched as ever.  https://t.co/s8BPn1T4iD";;;;
"Tom van der Lee	12-04-2020 12:47:47	GroenLinks	Tom van der Lee (@TomvanderLee): RT @Buitenhoftv: ‘1 Dit kan alleen maar vrijwillig, 2 alleen binnen de privacy wetgeving, 3 alleen maar tijdelijk, ook de data, en beproeft op hackers , aldus Feike Sijbesma in #buitenhof over de corona-app op basis van bluetooth. https://t.co/Z7Hf5Vv6jw";;;;
"Fleur Agema	12-04-2020 12:47:04	PVV	Fleur Agema (@FleurAgemaPVV): RT @HansdeBoer18: In Nederland vallen 5 x meer doden per 1 miljoen inwoners dan in Amerika. Echter @Nieuwsuur wekt dagelijks de indruk dat het in Amerika een enorme ramp is als gevolg van het beleid van Trump.";;;;
"Antje Diertens	12-04-2020 12:41:49	D66	Antje Diertens (@AntjeDiertens): @Huistartsclaire: Corona - onrustige tijden https://t.co/TestgvVMNl via @YouTube Een mooi filmpje om onzekere tijden door te komen. #houvol #blijfthuis #coronavirus";;;;
"Frank Wassenberg	12-04-2020 12:38:14	PvdD	Frank Wassenberg (@WassenbergFrank): Zo zag het er vanmorgen uit bij #DeStemming, waar het ging over de #coronamaatregelen en de achtergrond van deze pandemie. We moeten #corona bestrijden, maar we moeten tegelijk zorgen voor een andere omgang met dieren en de natuur om toekomstige pandemieën te voorkomen. #COVID19 https://t.co/Spy3yrLBTw https://t.co/eB1deBQ2GL";;;;
"Tom van der Lee	12-04-2020 12:04:20	GroenLinks	Tom van der Lee (@TomvanderLee): ‘De post-#corona wereldeconomie, hoe zal die eruitzien? 5 trends: Er tekent zich ‘n minder vrije economie af, grotere rol van de staat, beladen met schulden. De digitalisering versnelt, terwijl ‘t klimaat in ‘t gedrang komt als nieuwe kans gemist wordt https://t.co/C9IysFW0Mz";;;;
"Henk Krol	12-04-2020 11:57:43	50Plus	Henk Krol (@HenkKrol): Tijdens de coronacrisis is fysieke aanwezigheid van volksvertegenwoordigers vaak niet mogelijk. Daarom is het parlement akkoord gegaan met het tijdelijk digitaal vergaderen en stemmen. In zowel de Tweede Kamer als de Senaat steunde 50PLUS deze spoedwet. https://t.co/TzMErfzz6X";;;;
"Aukje de Vries #blijfthuis	12-04-2020 11:53:08	onbekend	Aukje de Vries #blijfthuis (@aukjedevries): RT @OmropNijs: 12 april: De earste Kanadezen ride Fryslân binnen https://t.co/IpiFYXWhen";;;;
"Aukje de Vries #blijfthuis	12-04-2020 11:50:22	onbekend	Aukje de Vries #blijfthuis (@aukjedevries): RT @STLwerkt: Wie heeft m al gespot? Onze tv commercial voor mensen die werkzaam zijn in de sector Transport en Logistiek. Trots op jullie. Dank je wel! #stlwerkt @TLNnieuws @cnvvakmensen @FNV_TenL @evofenedex https://t.co/qEDPAY2rlI";;;;
"Thierry Baudet	12-04-2020 11:48:43	FvD	Thierry Baudet (@thierrybaudet): RT @fvdemocratie: https://t.co/O4uuULwbMI https://t.co/uJAh5n3NnA";;;;
"Edgar Mulder	12-04-2020 11:42:28	PVV	Edgar Mulder (@edgarmulder1): RT @wierdduk: Die is leuk:Die is leuk: https://t.co/K6WC6NMDoR";;;;
"Edgar Mulder	12-04-2020 11:34:19	PVV	Edgar Mulder (@edgarmulder1): RT @SamvanRooy1: Vannacht in #Anderlecht: 5 wagens in brand gestoken en steniging van het politiecommissariaat. 57 mensen werden gearresteerd (allicht alweer vrij ondertussen). Burgemeester: ""Het is relatief rustig gebleven.""  Over het Nieuwe Normaal gesproken...  https://t.co/QxoQfs0gyH";;;;
"M van Toorenburg	12-04-2020 11:28:13	CDA	M van Toorenburg (@MvanToorenburg): RT @cdavandaag: Goede Paasdagen! #Pasen2020 https://t.co/KjIBOfznDp";;;;
"Antje Diertens	12-04-2020 11:27:26	D66	Antje Diertens (@AntjeDiertens): In 1ste TB al een vraag hierover gesteld.  Taiwan en de WHO hebben geen formele contacten, omdat China dat niet accepteert. daardoor kan Taiwan geen lid zijn van de VN en dochterorganisatie. WHO krijgt kritiek vanwege 'trage reactie' | Gedeeld artikel https://t.co/Ylj4FtolPV";;;;
